matter_id,cnr,filing_no,filing_date,disposal_date,court_name,case_status,case_typology,case_category,matter_type,main_matter_id,updated_on,registration_number
574143,,2709138029832023,2023-04-10,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1432/MB/2023
574144,,2709138008822023,2023-01-27,,National Company Law Tribunal-mumbai,Pending,Company Appeal (IBC),IBC,,,2025-07-18,Appeal (IBC)/18/MB/2023
574145,,2709138008602023,2023-01-27,,National Company Law Tribunal-mumbai,Pending,Company Appeal (IBC),IBC,,,2025-07-18,Appeal (IBC)/17/MB/2023
574146,,2709138007212023,2023-01-21,2023-05-04,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1760/MB/2023
574147,,2709138064352022,2022-10-18,2022-11-16,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3362/MB/2022
574220,,2709138058832023,2023-07-13,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-23,
574221,,2709138067402022,2022-11-02,2022-11-18,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-23,IA(I.B.C)/3436/MB/2022
574224,,2709138091172023,2023-10-23,2023-12-01,National Company Law Tribunal-mumbai,Disposed,Intervention Petition (IBC),IBC,,,2025-07-18,Ivn.P (IBC)/63/MB/2023
574229,,2709138048592021,2021-09-30,2021-10-04,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2223/MB/2021
574312,,2709138102842023,2023-12-10,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/5719/MB/2023
574313,,2709138101062023,2023-12-03,2024-02-16,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/5624/MB/2023
